Branch,Mean_dNdS,RateClasses,OmegaOver1,WtOmegaOver1,LRT,p,p_Holm,BranchLength,Settings_length,Settings_OmegaOver1,Settings_propOverOne,Settings_meandns,Settings_MaxOmega,Settings_MaxOmegaProp
1,3.829965992534198,1,3.828563785783444,1,3.34808867832362,0.03364154741414427,0.1345661896565771,0.03027839034475792,0.05618362624263633,4.74594970008714,0.619044338503,3.1254930476772236,4.74594970008714,0.619044338503
2,0.3140431829428198,1,0,0,0,1,1,0.3441966519825779,0.42785781240426823,0,0,0.3788049933197746,0.3788049933197746,1.0
5,0.7058569558558571,1,0,0,0,1,1,0.02944410046637741,0.039045264929331115,0,0,0.7039289884586347,0.7039289884586347,1.0
3,10,1,15.75034993485068,1,45.05410688132724,9.583223103959426e-12,4.791611551979713e-11,0.07773485155138127,0.1470344428678251,26.914805405281864,0.490889668608,13.276990434901236,26.914805405281864,0.490889668608
4,0.4159643284938663,1,0,0,0,1,1,0.05923944371064421,0.0930449786749521,0,0,0.501789849104063,0.501789849104063,1.0
1,0.8140498537201112,1,0,0,0,1,1,0.3255389732118905,0.45460901905777107,2.1927627091019746,0.00399880203053,0.6904431057245033,2.1927627091019746,0.00399880203053
2,0.05540168946668857,1,0,0,0,1,1,0.1814479662070982,0.21446166254963822,0,0,0.05265304841304069,0.05265304841304069,1.0
5,10,1,inf,1,1.793745740998929,0.09023522356113794,0.4511761178056897,0.01513308796480334,0.019716238246275938,2.317856678053351,0.841747706438,2.0253545937334327,2.317856678053351,0.841747706438
3,0.3505387151076815,1,0,0,0,1,1,0.1070805526337134,0.12933484084050706,0,0,0.284389134303335,0.284389134303335,1.0
4,0.5557869084811484,1,0,0,0,1,1,0.06103808278949293,0.07154450659595467,0,0,0.9836422428107998,0.9836422428107998,1.0
1,0.4802923195729149,1,0,0,0,1,1,0.06852062123415666,0.07670359976131308,0,0,0.9687257940935341,0.9687257940935341,1.0
2,0.2568347746056451,1,0,0,0,1,1,0.04420856289455846,0.07853597125434118,0,0,0.15633110519330717,0.15633110519330717,1.0
5,0.4016987569408025,2,5.844954860812637,0.2194389166847905,19.5104590221581,5.002518507435383e-06,2.501259253717691e-05,0.6023223772784617,0.9140382785483906,6.125236015095454,0.21632984395,1.414423445439375,6.125236015095454,0.21632984395
3,0.03437106642485872,1,0,0,0,1,1,0.5797988942365485,0.7143525938174567,0,0,0.03263446925863047,0.03263446925863047,1.0
4,0.2907475033406008,1,0,0,0,1,1,0.21252620938315,0.3225933176718786,0,0,0.2964301801524682,0.2964301801524682,1.0
1,0.8099384343845282,2,3.189673445478395,0.4409777246112259,23.43034031495881,6.475979217324124e-07,3.237989608662062e-06,0.5285374154374288,0.8105242325024309,4.705472301193672,0.352529556589,1.894083134367556,4.705472301193672,0.352529556589
2,3.669702506751394,1,2.518215919282028,1,0.3752895594989241,0.2700675143205508,0.8102025429616524,0.02224216843342799,0.03250739095025015,31.517654932149064,0.600592709764,19.03262753665471,31.517654932149064,0.600592709764
5,0.3022810680482049,2,0,0,0,1,1,0.1434620059774049,0.19755706263974562,0,0,0.22117631931718235,0.22117631931718235,1.0
3,0.118902864310721,1,0,0,0,1,1,0.2004316521692071,0.2669380131179845,0,0,0.12233626625637371,0.12233626625637371,1.0
4,2.071152116764875,2,11.15478669839657,0.3018707704700243,16.53384816743346,2.389465715296746e-05,9.557862861186983e-05,0.09473983524120987,0.12289265868218127,8.585854157621288,0.369885036175,3.297529313385162,8.585854157621288,0.369885036175
1,2.453877544660205,2,36.37634493057538,0.1298834364450788,77.85278590879716,0,0,0.2627802483790856,0.39546497480250864,29.402241454952176,0.166859276796,5.629342776175292,29.402241454952176,0.166859276796
2,5.614703843100473,1,6.023414412766638,1,29.52472826266057,2.760390843681293e-08,1.104156337472517e-07,0.09845925153035874,0.1910026782633581,6.993898787361477,0.829628815549,5.8875933684248745,6.993898787361477,0.829628815549
5,10,1,3513447.66669406,1,0.5422139543043158,0.2307583188235438,0.6922749564706312,0.005982581596323755,0.014517829798092562,0,0,0.592905926501707,0.592905926501707,1.0
3,0.117664108201189,1,0,0,0,1,1,0.2613452987150619,0.30123782456267056,0,0,0.11141489757410963,0.11141489757410963,1.0
4,0.152296916851984,1,0,0,0,1,1,0.1840435605841667,0.23257691574530492,0,0,0.1324359076292797,0.1324359076292797,1.0
1,10,1,21708570.18256324,1,8.954775717080338,0.001383725805386149,0.006918629026930745,0.03432731099336421,0.062190837874521766,20.72411400285962,0.342082703878,7.112881445045744,20.72411400285962,0.342082703878
2,0.5979910627509564,2,2.109948312533184,0.3423988626770063,3.390707530292275,0.0327824044906409,0.09834721347192271,0.1191731998512446,0.17859854779594084,7.51605676620282,0.0521295994704,0.9017766804910711,7.51605676620282,0.0521295994704
5,1.100143024143445,1,1.044066397735352,1,0.01141458400161355,0.4574583310792762,0.9149166621585525,0.1366653414856592,0.17780252473076255,1.4651030936357723,1.0,1.4651030936357723,1.4651030936357723,1.0
3,0.2789031937368456,2,416.4296704284604,0.02110906067255691,5.789877727856947,0.008059355124449163,0.03223742049779665,4.642289491749107,0.6608390740922857,18.537424577140705,0.0160955649285,0.5046218339948367,18.537424577140705,0.0160955649285
4,0.5080827522047248,1,0,0,0,1,1,0.3045755579056372,0.38332819785270233,0,0,0.4308771687494737,0.4308771687494737,1.0
1,0.01909917900913422,1,0,0,0,1,1,0.2225755336453646,0.2090923722882651,0,0,0.017927307036096764,0.017927307036096764,1.0
